"Ad report (Jul 9, 2014)",,,,,,,,,,,,,,,,,,,,,
Ad state,Ad,Description line 1,Description line 2,Display URL,Destination URL,Campaign,Ad group,Status,Labels,Campaign type,Campaign subtype,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Converted clicks,Cost / converted click,Click conversion rate,View-through conv.
enabled,Criminal Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}MnoLBKEF_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dcriminal%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Criminal [B],approved, --,Search Only,All features,0,8,0.00%,0,0,7.3,0,0,0.00%,0
enabled,Instant Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}9uKzJiNO_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dfree%2Bpublic%2Bdatabases%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Free_Database [E],approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0
enabled,Instant Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}OzjVAFwn_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dfree%2Bpublic%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Free_Search [E],approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0
enabled,Search Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}uLAyuleE_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dpublic%2Brecords%2Bwebsites%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Com [B],approved, --,Search Only,All features,0,1,0.00%,0,0,8,0,0,0.00%,0
enabled,Find Free Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records_Find,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}TkwZEgc5_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dpublic%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Find [B],approved, --,Search Only,All features,14,461,3.04%,0.51,7.08,4.9,0,0,0.00%,0
enabled,Instant Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records_Now,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}aKz2Lpi2_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dpublic%2Brecords%2Bnow%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Now [E],approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0
enabled,Find Free Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}fbj2OAFf_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dfree%2Bpublic%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Free_Search [E],approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0
enabled,Instant Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}u7udziId_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dfree%2Bonline%2Bpublic%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Free_Online [B],approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0
enabled,Find Free Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}amDzlgJJ_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dfree%2Bonline%2Bpublic%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Free_Online [B],approved, --,Search Only,All features,0,4,0.00%,0,0,6.5,0,0,0.00%,0
enabled,School Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records_School,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}iqBQHlBp_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dpublic%2Bschool%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_School [B],approved, --,Search Only,All features,20,948,2.11%,0.71,14.11,2.1,0,0,0.00%,0
enabled,Search Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}becAgzYC_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dfree%2Bpublic%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Free_Search_Web [B],approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0
enabled,Find Free Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records_Find,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}TlOE8Ghd_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dpublic%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Find [E],approved, --,Search Only,All features,0,4,0.00%,0,0,4,0,0,0.00%,0
enabled,Search Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}1szqwY7Y_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dpublic%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records [E],approved, --,Search Only,All features,0,1,0.00%,0,0,8,0,0,0.00%,0
enabled,Find Free Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}ETqUAJKc_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dfree%2Bpublic%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Free_Search [B],approved, --,Search Only,All features,22,857,2.57%,0.5,11.01,6,0,0,0.00%,0
enabled,Public Will Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records_Will,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}tYFpUYCE_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dpublic%2Bwill%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Will [B],approved, --,Search Only,All features,0,3,0.00%,0,0,6,0,0,0.00%,0
enabled,Search Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records_School,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}IvpEfp8u_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dpublic%2Bschool%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_School [B],approved, --,Search Only,All features,2,36,5.56%,0.58,1.16,1.9,0,0,0.00%,0
enabled,Search Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}SBhyX4YO_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dcriminal%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Criminal [E],approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0
enabled,Instant Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records_Free,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}odnXuypl_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dfree%2Bpublic%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Free [E],approved, --,Search Only,All features,0,2,0.00%,0,0,10.5,0,0,0.00%,0
enabled,Find Public Records Data,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records_Data,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}KyAFjOOZ_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dpublic%2Brecords%2Bdata%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Data [E],approved, --,Search Only,All features,0,3,0.00%,0,0,5.3,0,0,0.00%,0
enabled,Search Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}W5iTGrWy_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dfree%2Bpublic%2Bdatabases%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Free_Database [E],approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0
enabled,Instant Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}wRlZOgp6_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dfree%2Bpublic%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Free_Search_Web [B],approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0
enabled,Find Public Records Data,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records_Data,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}cYsXrLdN_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dpublic%2Brecords%2Bdata%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Data [B],approved, --,Search Only,All features,0,2,0.00%,0,0,6.5,0,0,0.00%,0
enabled,Search Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}cdbhxNTy_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dfree%2Bonline%2Bpublic%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Free_Online [B],approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0
enabled,Search Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}IjlbIiVs_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dpublic%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records [B],approved, --,Search Only,All features,0,1,0.00%,0,0,3,0,0,0.00%,0
enabled,Public Will Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records_Will,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}fPAz2jJT_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dpublic%2Bwill%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Will [E],approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0
enabled,Search Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}7E1bCJ9R_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dfree%2Bonline%2Bpublic%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Free_Online [E],approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0
enabled,Search Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records_Find,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}TXvzH9Ig_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dpublic%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Find [E],approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0
enabled,Search Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records_Church,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}UWif6Bep_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dpublic%2Bchurch%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Church [B],approved, --,Search Only,All features,0,57,0.00%,0,0,2.3,0,0,0.00%,0
enabled,Search Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records_Free,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}Z7jOth4J_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dfree%2Bpublic%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Free [B],approved, --,Search Only,All features,0,9,0.00%,0,0,5.4,0,0,0.00%,0
enabled,Search Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records_Now,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}AZVjI5ix_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dpublic%2Brecords%2Bnow%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Now [E],approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0
enabled,Instant Public Records,1) Enter any information,2) View public records online!,Ancestry.com/Public_Records_Free,http://tracker.marinsm.com/rd?cid=93095py25419&mkwid={ifsearch:s}{ifcontent:c}r3ZPKUdn_d{device}&pcrid={creative}&pkw={keyword}&pmt={matchtype}&lp=http%3A%2F%2Fwww.ancestry.com%2Fs21837%2Ft27295%2Frd.ashx%3Fstate%3D%26kw%3Dfree%2Bpublic%2Brecords%26s_kwcid%3D{keyword},G_Records_Public,Public_Records_Free [B],approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0
