word,clicks,impressions,cost,convertedClicks
,2826000,15376728,1093326.8,45312,
--,2826000,15376728,1093326.8,45312,
Added,1569305,7560862,328325.7200000014,32255,
None,1235779,7715100,760979.3200000208,13003,
Excluded,20916,100766,4021.750000000001,54,word,clicks,impressions,cost,convertedClicks
,2826000,15376728,1093326.8,45312,
--,2826000,15376728,1093326.8,45312,
Added,1569305,7560862,328325.7200000014,32255,
None,1235779,7715100,760979.3200000208,13003,
Excluded,20916,100766,4021.750000000001,54,